text,label,entities
"Agents that have only begun to undergo clinical evaluation include << CI-1033 >>, an irreversible pan-erbB [[ tyrosine kinase ]] inhibitor, and PKI166 and GW572016, both examples of dual kinase inhibitors (inhibiting epidermal growth factor receptor and Her2).",INHIBITOR,"['CI-1033', 'tyrosine kinase']"
"Agents that have only begun to undergo clinical evaluation include CI-1033, an irreversible pan-erbB tyrosine kinase inhibitor, and << PKI166 >> and GW572016, both examples of dual [[ kinase ]] inhibitors (inhibiting epidermal growth factor receptor and Her2).",INHIBITOR,"['PKI166', 'kinase']"
"Agents that have only begun to undergo clinical evaluation include CI-1033, an irreversible pan-erbB tyrosine kinase inhibitor, and << PKI166 >> and GW572016, both examples of dual kinase inhibitors (inhibiting [[ epidermal growth factor receptor ]] and Her2).",INHIBITOR,"['PKI166', 'epidermal growth factor receptor']"
"Agents that have only begun to undergo clinical evaluation include CI-1033, an irreversible pan-erbB tyrosine kinase inhibitor, and << PKI166 >> and GW572016, both examples of dual kinase inhibitors (inhibiting epidermal growth factor receptor and [[ Her2 ]]).",INHIBITOR,"['PKI166', 'Her2']"
"Agents that have only begun to undergo clinical evaluation include CI-1033, an irreversible pan-erbB tyrosine kinase inhibitor, and PKI166 and << GW572016 >>, both examples of dual [[ kinase ]] inhibitors (inhibiting epidermal growth factor receptor and Her2).",INHIBITOR,"['GW572016', 'kinase']"
"Agents that have only begun to undergo clinical evaluation include CI-1033, an irreversible pan-erbB tyrosine kinase inhibitor, and PKI166 and << GW572016 >>, both examples of dual kinase inhibitors (inhibiting [[ epidermal growth factor receptor ]] and Her2).",INHIBITOR,"['GW572016', 'epidermal growth factor receptor']"
"Agents that have only begun to undergo clinical evaluation include CI-1033, an irreversible pan-erbB tyrosine kinase inhibitor, and PKI166 and << GW572016 >>, both examples of dual kinase inhibitors (inhibiting epidermal growth factor receptor and [[ Her2 ]]).",INHIBITOR,"['GW572016', 'Her2']"
<< Alprenolol >> and bromoacetylalprenololmenthane are competitive slowly reversible antagonists at the [[ beta 1-adrenoceptors ]] of rat left atria.,ANTAGONIST,"['Alprenolol', 'beta 1-adrenoceptors']"
Alprenolol and << bromoacetylalprenololmenthane >> are competitive slowly reversible antagonists at the [[ beta 1-adrenoceptors ]] of rat left atria.,ANTAGONIST,"['bromoacetylalprenololmenthane', 'beta 1-adrenoceptors']"
"<< Alprenolol >> and BAAM at 10(-7), 3 x 10(-7), and 10(-6) M inhibited the cardiac stimulation response slightly, which is indicative of membrane-stabilizing activity independent of [[ beta-adrenoceptor ]] blockade.",INHIBITOR,"['Alprenolol', 'beta-adrenoceptor']"
"Alprenolol and << BAAM >> at 10(-7), 3 x 10(-7), and 10(-6) M inhibited the cardiac stimulation response slightly, which is indicative of membrane-stabilizing activity independent of [[ beta-adrenoceptor ]] blockade.",INHIBITOR,"['BAAM', 'beta-adrenoceptor']"
"Alprenolol and BAAM also caused surmountable antagonism of << isoprenaline >> responses, and this [[ beta 1-adrenoceptor ]] antagonism was slowly reversible.",AGONIST,"['isoprenaline', 'beta 1-adrenoceptor']"
"<< Alprenolol >> and BAAM also caused surmountable antagonism of isoprenaline responses, and this [[ beta 1-adrenoceptor ]] antagonism was slowly reversible.",ANTAGONIST,"['Alprenolol', 'beta 1-adrenoceptor']"
"Alprenolol and << BAAM >> also caused surmountable antagonism of isoprenaline responses, and this [[ beta 1-adrenoceptor ]] antagonism was slowly reversible.",ANTAGONIST,"['BAAM', 'beta 1-adrenoceptor']"
We conclude that << alprenolol >> and BAAM are competitive slowly reversible [[ beta 1-adrenoceptor ]] antagonists on rat left atria.,ANTAGONIST,"['alprenolol', 'beta 1-adrenoceptor']"
We conclude that alprenolol and << BAAM >> are competitive slowly reversible [[ beta 1-adrenoceptor ]] antagonists on rat left atria.,ANTAGONIST,"['BAAM', 'beta 1-adrenoceptor']"
Discovery and optimization of << anthranilic acid sulfonamides >> as inhibitors of methionine aminopeptidase-2: a structural basis for the reduction of [[ albumin ]] binding.,DOWNREGULATOR,"['anthranilic acid sulfonamides', 'albumin']"
<< Adenine phosphoribosyltransferase >> plays a role in purine salvage by catalyzing the direct conversion of adenine to [[ adenosine monophosphate ]].,PRODUCT-OF,"['Adenine phosphoribosyltransferase', 'adenosine monophosphate']"
<< Adenine phosphoribosyltransferase >> plays a role in purine salvage by catalyzing the direct conversion of [[ adenine ]] to adenosine monophosphate.,SUBSTRATE,"['Adenine phosphoribosyltransferase', 'adenine']"
"BACKGROUND: Since the introduction of the first << cholinesterase >> inhibitor (ChEI) in 1997, most clinicians and probably most patients would consider the cholinergic drugs, [[ donepezil ]], galantamine and rivastigmine, to be the first line pharmacotherapy for mild to moderate Alzheimer's disease.The drugs have slightly different pharmacological properties, but they all work by inhibiting the breakdown of acetylcholine, an important neurotransmitter associated with memory, by blocking the enzyme acetylcholinesterase.",INHIBITOR,"['cholinesterase', 'donepezil']"
"BACKGROUND: Since the introduction of the first cholinesterase inhibitor (ChEI) in 1997, most clinicians and probably most patients would consider the cholinergic drugs, << donepezil >>, galantamine and rivastigmine, to be the first line pharmacotherapy for mild to moderate Alzheimer's disease.The drugs have slightly different pharmacological properties, but they all work by inhibiting the breakdown of acetylcholine, an important neurotransmitter associated with memory, by blocking the enzyme [[ acetylcholinesterase ]].",INHIBITOR,"['donepezil', 'acetylcholinesterase']"
"BACKGROUND: Since the introduction of the first << cholinesterase >> inhibitor (ChEI) in 1997, most clinicians and probably most patients would consider the cholinergic drugs, donepezil, [[ galantamine ]] and rivastigmine, to be the first line pharmacotherapy for mild to moderate Alzheimer's disease.The drugs have slightly different pharmacological properties, but they all work by inhibiting the breakdown of acetylcholine, an important neurotransmitter associated with memory, by blocking the enzyme acetylcholinesterase.",INHIBITOR,"['cholinesterase', 'galantamine']"
"BACKGROUND: Since the introduction of the first cholinesterase inhibitor (ChEI) in 1997, most clinicians and probably most patients would consider the cholinergic drugs, donepezil, << galantamine >> and rivastigmine, to be the first line pharmacotherapy for mild to moderate Alzheimer's disease.The drugs have slightly different pharmacological properties, but they all work by inhibiting the breakdown of acetylcholine, an important neurotransmitter associated with memory, by blocking the enzyme [[ acetylcholinesterase ]].",INHIBITOR,"['galantamine', 'acetylcholinesterase']"
"BACKGROUND: Since the introduction of the first << cholinesterase >> inhibitor (ChEI) in 1997, most clinicians and probably most patients would consider the cholinergic drugs, donepezil, galantamine and [[ rivastigmine ]], to be the first line pharmacotherapy for mild to moderate Alzheimer's disease.The drugs have slightly different pharmacological properties, but they all work by inhibiting the breakdown of acetylcholine, an important neurotransmitter associated with memory, by blocking the enzyme acetylcholinesterase.",INHIBITOR,"['cholinesterase', 'rivastigmine']"
"BACKGROUND: Since the introduction of the first cholinesterase inhibitor (ChEI) in 1997, most clinicians and probably most patients would consider the cholinergic drugs, donepezil, galantamine and << rivastigmine >>, to be the first line pharmacotherapy for mild to moderate Alzheimer's disease.The drugs have slightly different pharmacological properties, but they all work by inhibiting the breakdown of acetylcholine, an important neurotransmitter associated with memory, by blocking the enzyme [[ acetylcholinesterase ]].",INHIBITOR,"['rivastigmine', 'acetylcholinesterase']"
"BACKGROUND: Since the introduction of the first cholinesterase inhibitor (ChEI) in 1997, most clinicians and probably most patients would consider the cholinergic drugs, donepezil, galantamine and rivastigmine, to be the first line pharmacotherapy for mild to moderate Alzheimer's disease.The drugs have slightly different pharmacological properties, but they all work by inhibiting the breakdown of << acetylcholine >>, an important neurotransmitter associated with memory, by blocking the enzyme [[ acetylcholinesterase ]].",SUBSTRATE,"['acetylcholine', 'acetylcholinesterase']"
"Mitiglinide (<< KAD-1229 >>), a new anti-diabetic drug, is thought to stimulate [[ insulin ]] secretion by closing the ATP-sensitive K+ (K(ATP)) channels in pancreatic beta-cells.",INDIRECT-UPREGULATOR,"['KAD-1229', 'insulin']"
"<< Mitiglinide >> (KAD-1229), a new anti-diabetic drug, is thought to stimulate [[ insulin ]] secretion by closing the ATP-sensitive K+ (K(ATP)) channels in pancreatic beta-cells.",INDIRECT-UPREGULATOR,"['Mitiglinide', 'insulin']"
"Mitiglinide (<< KAD-1229 >>), a new anti-diabetic drug, is thought to stimulate insulin secretion by closing the [[ ATP-sensitive K+ (K(ATP)) channels ]] in pancreatic beta-cells.",INHIBITOR,"['KAD-1229', 'ATP-sensitive K+ (K(ATP)) channels']"
"<< Mitiglinide >> (KAD-1229), a new anti-diabetic drug, is thought to stimulate insulin secretion by closing the [[ ATP-sensitive K+ (K(ATP)) channels ]] in pancreatic beta-cells.",INHIBITOR,"['Mitiglinide', 'ATP-sensitive K+ (K(ATP)) channels']"
"Patch-clamp analysis using inside-out recording configuration showed that << mitiglinide >> inhibits the [[ Kir6.2 ]]/SUR1 channel currents in a dose-dependent manner (IC50 value, 100 nM) but does not significantly inhibit either Kir6.2/SUR2A or Kir6.2/SUR2B channel currents even at high doses (more than 10 microM).",INHIBITOR,"['mitiglinide', 'Kir6.2']"
"Patch-clamp analysis using inside-out recording configuration showed that << mitiglinide >> inhibits the Kir6.2/[[ SUR1 ]] channel currents in a dose-dependent manner (IC50 value, 100 nM) but does not significantly inhibit either Kir6.2/SUR2A or Kir6.2/SUR2B channel currents even at high doses (more than 10 microM).",INHIBITOR,"['mitiglinide', 'SUR1']"
"<< Nateglinide >> inhibits [[ Kir6.2 ]]/SUR1 and Kir6.2/SUR2B channels at 100 nM, and inhibits Kir6.2/SUR2A channels at high concentrations (1 microM).",INHIBITOR,"['Nateglinide', 'Kir6.2']"
"<< Nateglinide >> inhibits Kir6.2/[[ SUR1 ]] and Kir6.2/SUR2B channels at 100 nM, and inhibits Kir6.2/SUR2A channels at high concentrations (1 microM).",INHIBITOR,"['Nateglinide', 'SUR1']"
"<< Nateglinide >> inhibits Kir6.2/SUR1 and [[ Kir6.2 ]]/SUR2B channels at 100 nM, and inhibits Kir6.2/SUR2A channels at high concentrations (1 microM).",INHIBITOR,"['Nateglinide', 'Kir6.2']"
"<< Nateglinide >> inhibits Kir6.2/SUR1 and Kir6.2/[[ SUR2B ]] channels at 100 nM, and inhibits Kir6.2/SUR2A channels at high concentrations (1 microM).",INHIBITOR,"['Nateglinide', 'SUR2B']"
"<< Nateglinide >> inhibits Kir6.2/SUR1 and Kir6.2/SUR2B channels at 100 nM, and inhibits [[ Kir6.2 ]]/SUR2A channels at high concentrations (1 microM).",INHIBITOR,"['Nateglinide', 'Kir6.2']"
"<< Nateglinide >> inhibits Kir6.2/SUR1 and Kir6.2/SUR2B channels at 100 nM, and inhibits Kir6.2/[[ SUR2A ]] channels at high concentrations (1 microM).",INHIBITOR,"['Nateglinide', 'SUR2A']"
"These results indicate that, similar to the sulfonylureas, mitiglinide is highly specific to the Kir6.2/SUR1 complex, i.e., the pancreatic beta-cell << K(ATP) channel >>, and suggest that [[ mitiglinide ]] may be a clinically useful anti-diabetic drug.",AGONIST,"['K(ATP) channel', 'mitiglinide']"
"Although generally highly specific for angiotensin II type 1 receptors, some ARBs, particularly << telmisartan >>, are partial agonists at [[ peroxisome proliferator-activated receptor-γ ]].",AGONIST,"['telmisartan', 'peroxisome proliferator-activated receptor-γ']"
"Although generally highly specific for << angiotensin II type 1 receptors >>, some ARBs, particularly [[ telmisartan ]], are partial agonists at peroxisome proliferator-activated receptor-γ.",ANTAGONIST,"['angiotensin II type 1 receptors', 'telmisartan']"
"Direct-acting << CB1 >> agonists, including [[ Δ(9)-tetrahydrocannabinol ]], WIN 55,212 [R-(1)-[2,3-dihydro-5-methyl-3-[(morpholinyl)methyl]pyrrolo[1,2,3-de]-1,4-benzoxazinyl]-(1-naphthalenyl)methanone mesylate], AM2389 [9β-hydroxy-3-(1-hexyl-cyclobut-1-yl)-hexahydrocannabinol], and AM4054 [9β-(hydroxymethyl)-3-(1-adamantyl)-hexahydrocannabinol], produced dose-dependent increases in diuresis and decreases in colonic temperature, with slightly lower ED(50) values for diuresis than for hypothermia.",AGONIST,"['CB1', 'Δ(9)-tetrahydrocannabinol']"
"Direct-acting << CB1 >> agonists, including Δ(9)-tetrahydrocannabinol, [[ WIN 55,212 ]] [R-(1)-[2,3-dihydro-5-methyl-3-[(morpholinyl)methyl]pyrrolo[1,2,3-de]-1,4-benzoxazinyl]-(1-naphthalenyl)methanone mesylate], AM2389 [9β-hydroxy-3-(1-hexyl-cyclobut-1-yl)-hexahydrocannabinol], and AM4054 [9β-(hydroxymethyl)-3-(1-adamantyl)-hexahydrocannabinol], produced dose-dependent increases in diuresis and decreases in colonic temperature, with slightly lower ED(50) values for diuresis than for hypothermia.",AGONIST,"['CB1', 'WIN 55,212']"
"Direct-acting << CB1 >> agonists, including Δ(9)-tetrahydrocannabinol, WIN 55,212 [[[ R-(1)-[2,3-dihydro-5-methyl-3-[(morpholinyl)methyl]pyrrolo[1,2,3-de]-1,4-benzoxazinyl]-(1-naphthalenyl)methanone mesylate ]]], AM2389 [9β-hydroxy-3-(1-hexyl-cyclobut-1-yl)-hexahydrocannabinol], and AM4054 [9β-(hydroxymethyl)-3-(1-adamantyl)-hexahydrocannabinol], produced dose-dependent increases in diuresis and decreases in colonic temperature, with slightly lower ED(50) values for diuresis than for hypothermia.",AGONIST,"['CB1', '[ R-(1)-[2,3-dihydro-5-methyl-3-[(morpholinyl)methyl]pyrrolo[1,2,3-de]-1,4-benzoxazinyl]-(1-naphthalenyl)methanone mesylate']"
"Direct-acting << CB1 >> agonists, including Δ(9)-tetrahydrocannabinol, WIN 55,212 [R-(1)-[2,3-dihydro-5-methyl-3-[(morpholinyl)methyl]pyrrolo[1,2,3-de]-1,4-benzoxazinyl]-(1-naphthalenyl)methanone mesylate], [[ AM2389 ]] [9β-hydroxy-3-(1-hexyl-cyclobut-1-yl)-hexahydrocannabinol], and AM4054 [9β-(hydroxymethyl)-3-(1-adamantyl)-hexahydrocannabinol], produced dose-dependent increases in diuresis and decreases in colonic temperature, with slightly lower ED(50) values for diuresis than for hypothermia.",AGONIST,"['CB1', 'AM2389']"
"Direct-acting << CB1 >> agonists, including Δ(9)-tetrahydrocannabinol, WIN 55,212 [R-(1)-[2,3-dihydro-5-methyl-3-[(morpholinyl)methyl]pyrrolo[1,2,3-de]-1,4-benzoxazinyl]-(1-naphthalenyl)methanone mesylate], AM2389 [[[ 9β-hydroxy-3-(1-hexyl-cyclobut-1-yl)-hexahydrocannabinol ]]], and AM4054 [9β-(hydroxymethyl)-3-(1-adamantyl)-hexahydrocannabinol], produced dose-dependent increases in diuresis and decreases in colonic temperature, with slightly lower ED(50) values for diuresis than for hypothermia.",AGONIST,"['CB1', '[ 9β-hydroxy-3-(1-hexyl-cyclobut-1-yl)-hexahydrocannabinol']"
"Direct-acting << CB1 >> agonists, including Δ(9)-tetrahydrocannabinol, WIN 55,212 [R-(1)-[2,3-dihydro-5-methyl-3-[(morpholinyl)methyl]pyrrolo[1,2,3-de]-1,4-benzoxazinyl]-(1-naphthalenyl)methanone mesylate], AM2389 [9β-hydroxy-3-(1-hexyl-cyclobut-1-yl)-hexahydrocannabinol], and [[ AM4054 ]] [9β-(hydroxymethyl)-3-(1-adamantyl)-hexahydrocannabinol], produced dose-dependent increases in diuresis and decreases in colonic temperature, with slightly lower ED(50) values for diuresis than for hypothermia.",AGONIST,"['CB1', 'AM4054']"
"Direct-acting << CB1 >> agonists, including Δ(9)-tetrahydrocannabinol, WIN 55,212 [R-(1)-[2,3-dihydro-5-methyl-3-[(morpholinyl)methyl]pyrrolo[1,2,3-de]-1,4-benzoxazinyl]-(1-naphthalenyl)methanone mesylate], AM2389 [9β-hydroxy-3-(1-hexyl-cyclobut-1-yl)-hexahydrocannabinol], and AM4054 [[[ 9β-(hydroxymethyl)-3-(1-adamantyl)-hexahydrocannabinol ]]], produced dose-dependent increases in diuresis and decreases in colonic temperature, with slightly lower ED(50) values for diuresis than for hypothermia.",AGONIST,"['CB1', '[ 9β-(hydroxymethyl)-3-(1-adamantyl)-hexahydrocannabinol']"
"Methanandamide (10.0 mg/kg) had lesser effect than other CB agonists, and the << CB2 >> agonist [[ AM1241 ]] [1-(methylpiperidin-2-ylmethyl)-3-(2-iodo-5-nitrobenzoyl)indole], the anandamide transport inhibitor AM404, and the CB antagonist rimonabant did not have diuretic effects.",AGONIST,"['CB2', 'AM1241']"
"Methanandamide (10.0 mg/kg) had lesser effect than other CB agonists, and the << CB2 >> agonist AM1241 [[[ 1-(methylpiperidin-2-ylmethyl)-3-(2-iodo-5-nitrobenzoyl)indole ]]], the anandamide transport inhibitor AM404, and the CB antagonist rimonabant did not have diuretic effects.",AGONIST,"['CB2', '[ 1-(methylpiperidin-2-ylmethyl)-3-(2-iodo-5-nitrobenzoyl)indole']"
"Methanandamide (10.0 mg/kg) had lesser effect than other CB agonists, and the << CB2 >> agonist AM1241 [1-(methylpiperidin-2-ylmethyl)-3-(2-iodo-5-nitrobenzoyl)indole], the anandamide transport inhibitor [[ AM404 ]], and the CB antagonist rimonabant did not have diuretic effects.",AGONIST,"['CB2', 'AM404']"
"In further studies, the diuretic effects of the << CB1 >> agonist [[ AM4054 ]] were similar in male and female rats, displayed a relatively rapid onset to action, and were dose-dependently antagonized by 30 minutes pretreatment with rimonabant, but not by the vanilloid receptor type I antagonist capsazepine, nor were the effects of WIN 55,212 antagonized by the CB2 antagonist AM630 [(6-iodo-2-methyl-1-[2-(4-morpholinyl)ethyl]-1H-indol-3-yl](4-methoxyphenyl) methanone)].",AGONIST,"['CB1', 'AM4054']"
"In further studies, the diuretic effects of the CB1 agonist AM4054 were similar in male and female rats, displayed a relatively rapid onset to action, and were dose-dependently antagonized by 30 minutes pretreatment with rimonabant, but not by the vanilloid receptor type I antagonist capsazepine, nor were the effects of << WIN 55,212 >> antagonized by the [[ CB2 ]] antagonist AM630 [(6-iodo-2-methyl-1-[2-(4-morpholinyl)ethyl]-1H-indol-3-yl](4-methoxyphenyl) methanone)].",AGONIST,"['WIN 55,212', 'CB2']"
"In further studies, the diuretic effects of the << CB1 >> agonist AM4054 were similar in male and female rats, displayed a relatively rapid onset to action, and were dose-dependently antagonized by 30 minutes pretreatment with [[ rimonabant ]], but not by the vanilloid receptor type I antagonist capsazepine, nor were the effects of WIN 55,212 antagonized by the CB2 antagonist AM630 [(6-iodo-2-methyl-1-[2-(4-morpholinyl)ethyl]-1H-indol-3-yl](4-methoxyphenyl) methanone)].",ANTAGONIST,"['CB1', 'rimonabant']"
"In further studies, the diuretic effects of the CB1 agonist AM4054 were similar in male and female rats, displayed a relatively rapid onset to action, and were dose-dependently antagonized by 30 minutes pretreatment with rimonabant, but not by the << vanilloid receptor type I >> antagonist [[ capsazepine ]], nor were the effects of WIN 55,212 antagonized by the CB2 antagonist AM630 [(6-iodo-2-methyl-1-[2-(4-morpholinyl)ethyl]-1H-indol-3-yl](4-methoxyphenyl) methanone)].",ANTAGONIST,"['vanilloid receptor type I', 'capsazepine']"
"In further studies, the diuretic effects of the CB1 agonist AM4054 were similar in male and female rats, displayed a relatively rapid onset to action, and were dose-dependently antagonized by 30 minutes pretreatment with rimonabant, but not by the vanilloid receptor type I antagonist capsazepine, nor were the effects of WIN 55,212 antagonized by the << CB2 >> antagonist [[ AM630 ]] [(6-iodo-2-methyl-1-[2-(4-morpholinyl)ethyl]-1H-indol-3-yl](4-methoxyphenyl) methanone)].",ANTAGONIST,"['CB2', 'AM630']"
"In further studies, the diuretic effects of the CB1 agonist AM4054 were similar in male and female rats, displayed a relatively rapid onset to action, and were dose-dependently antagonized by 30 minutes pretreatment with rimonabant, but not by the vanilloid receptor type I antagonist capsazepine, nor were the effects of WIN 55,212 antagonized by the << CB2 >> antagonist AM630 [[[ (6-iodo-2-methyl-1-[2-(4-morpholinyl)ethyl]-1H-indol-3-yl](4-methoxyphenyl) methanone) ]]].",ANTAGONIST,"['CB2', '[ (6-iodo-2-methyl-1-[2-(4-morpholinyl)ethyl]-1H-indol-3-yl](4-methoxyphenyl) methanone)']"
"<< N-[2-(cyclohexyloxyl)-4-nitrophenyl]-methanesulfonamide >> (NS-398), a selective [[ cyclooxygenase-2 ]] inhibitor, also inhibited cell proliferation, whereas it did not cause apoptosis.",INHIBITOR,"['N-[2-(cyclohexyloxyl)-4-nitrophenyl]-methanesulfonamide', 'cyclooxygenase-2']"
"N-[2-(cyclohexyloxyl)-4-nitrophenyl]-methanesulfonamide (<< NS-398 >>), a selective [[ cyclooxygenase-2 ]] inhibitor, also inhibited cell proliferation, whereas it did not cause apoptosis.",INHIBITOR,"['NS-398', 'cyclooxygenase-2']"
"Mutation of arginine 228 to << lysine >> enhances the [[ glucosyltransferase ]] activity of bovine beta-1,4-galactosyltransferase I.",UPREGULATOR,"['lysine', 'glucosyltransferase']"
"Beta-1,4-galactosyltransferase I (beta4Gal-T1) normally transfers Gal from UDP-Gal to GlcNAc in the presence of Mn(2+) ion (Gal-T activity) and also transfers Glc from << UDP-Glc >> to GlcNAc ([[ Glc-T ]] activity), albeit at only 0.3% efficiency.",SUBSTRATE,"['UDP-Glc', 'Glc-T']"
"<< Beta-1,4-galactosyltransferase I >> (beta4Gal-T1) normally transfers Gal from [[ UDP-Gal ]] to GlcNAc in the presence of Mn(2+) ion (Gal-T activity) and also transfers Glc from UDP-Glc to GlcNAc (Glc-T activity), albeit at only 0.3% efficiency.",SUBSTRATE,"['Beta-1,4-galactosyltransferase I', 'UDP-Gal']"
"Beta-1,4-galactosyltransferase I (beta4Gal-T1) normally transfers Gal from << UDP-Gal >> to GlcNAc in the presence of Mn(2+) ion ([[ Gal-T ]] activity) and also transfers Glc from UDP-Glc to GlcNAc (Glc-T activity), albeit at only 0.3% efficiency.",SUBSTRATE,"['UDP-Gal', 'Gal-T']"
"Beta-1,4-galactosyltransferase I (<< beta4Gal-T1 >>) normally transfers Gal from [[ UDP-Gal ]] to GlcNAc in the presence of Mn(2+) ion (Gal-T activity) and also transfers Glc from UDP-Glc to GlcNAc (Glc-T activity), albeit at only 0.3% efficiency.",SUBSTRATE,"['beta4Gal-T1', 'UDP-Gal']"
Discovery of novel << 2-hydroxydiarylamide >> derivatives as [[ TMPRSS4 ]] inhibitors.,INHIBITOR,"['2-hydroxydiarylamide', 'TMPRSS4']"
"In this study, a novel series of << 2-hydroxydiarylamide >> derivatives were synthesized and evaluated for inhibiting [[ TMPRSS4 ]] serine protease activity and suppressing cancer cell invasion.",INHIBITOR,"['2-hydroxydiarylamide', 'TMPRSS4']"
"In this study, a novel series of << 2-hydroxydiarylamide >> derivatives were synthesized and evaluated for inhibiting TMPRSS4 [[ serine protease ]] activity and suppressing cancer cell invasion.",INHIBITOR,"['2-hydroxydiarylamide', 'serine protease']"
"The selective << betaAR >> agonist [[ isoproterenol ]] caused an enhancement of hippocampal CA3 network activity, as measured by an increase in frequency of spontaneous burst discharges recorded in the CA3 region.",AGONIST,"['betaAR', 'isoproterenol']"
"The selective << beta1AR >> antagonists atenolol and metoprolol blocked [[ isoproterenol ]]-induced enhancement, with apparent K(b) values of 85 +/- 36 and 3.9 +/- 1.7 nM, respectively.",AGONIST,"['beta1AR', 'isoproterenol']"
"The selective << beta1AR >> antagonists [[ atenolol ]] and metoprolol blocked isoproterenol-induced enhancement, with apparent K(b) values of 85 +/- 36 and 3.9 +/- 1.7 nM, respectively.",ANTAGONIST,"['beta1AR', 'atenolol']"
"The selective << beta1AR >> antagonists atenolol and [[ metoprolol ]] blocked isoproterenol-induced enhancement, with apparent K(b) values of 85 +/- 36 and 3.9 +/- 1.7 nM, respectively.",ANTAGONIST,"['beta1AR', 'metoprolol']"
"In contrast, the selective << beta2AR >> antagonists ICI-118,551 and butoxamine inhibited [[ isoproterenol ]]-mediated enhancement with apparent low affinities (K(b) of 222 +/- 61 and 9268 +/- 512 nM, respectively).",AGONIST,"['beta2AR', 'isoproterenol']"
"In contrast, the selective << beta2AR >> antagonists ICI-118,551 and [[ butoxamine ]] inhibited isoproterenol-mediated enhancement with apparent low affinities (K(b) of 222 +/- 61 and 9268 +/- 512 nM, respectively).",ANTAGONIST,"['beta2AR', 'butoxamine']"
"In contrast, the selective << beta2AR >> antagonists [[ ICI-118,551 ]] and butoxamine inhibited isoproterenol-mediated enhancement with apparent low affinities (K(b) of 222 +/- 61 and 9268 +/- 512 nM, respectively).",ANTAGONIST,"['beta2AR', 'ICI-118,551']"
"Together, this pharmacological profile of subtype-selective betaAR antagonists indicates that in this model, << beta1AR >> activation is responsible for the enhanced hippocampal CA3 network activity initiated by [[ isoproterenol ]].",AGONIST,"['beta1AR', 'isoproterenol']"
<< P2Y(2) receptor >> agonist [[ INS37217 ]] enhances functional recovery after detachment caused by subretinal injection in normal and rds mice.,AGONIST,"['P2Y(2) receptor', 'INS37217']"
Selective antagonism of << GluR5 >> kainate-receptor-mediated synaptic currents by [[ topiramate ]] in rat basolateral amygdala neurons.,ANTAGONIST,"['GluR5', 'topiramate']"
Selective antagonism of GluR5 << kainate-receptor >>-mediated synaptic currents by [[ topiramate ]] in rat basolateral amygdala neurons.,ANTAGONIST,"['kainate-receptor', 'topiramate']"
